Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2016-12-01 17:20,2016-12-01 18:26,0:53,Lausanne,Bern,IC,729,96.7,Bern - Lausanne,
2016-12-01 18:36,2016-12-01 19:29,0:53,Bern,Basel SBB,IC,1080,100.3,Basel SBB - Bern,
2017-02-03 08:00,2017-02-03 09:09,1:09,St-Louis,Strasbourg,TER ,96212,134.8,St-Louis - Strasbourg,
2017-02-03 15:21,2017-02-03 16:30,1:09,Strasbourg,St-Louis,TER,96263,134.8,St-Louis - Strasbourg,
2017-06-28 15:24,2017-06-28 16:39,1:15,St-Louis,Strasbourg,TER,96228,134.8,St-Louis - Strasbourg,
2017-06-28 21:21,2017-06-28 22:36,1:15,Strasbourg,St-Louis,TER,96241,134.8,St-Louis - Strasbourg,
2017-07-28 14:34,2017-07-28 18:06,3:32,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,524.4,Basel SBB - Paris Gare de Lyon,
2017-08-07 07:23,2017-08-07 10:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9203,524.4,Basel SBB - Paris Gare de Lyon,
2017-09-22 19:20,2017-09-22 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-09-22 20:36,2017-09-22 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-09-24 19:31,2017-09-24 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-09-24 20:34,2017-09-24 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2017-10-06 19:20,2017-10-06 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-10-06 20:36,2017-10-06 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-10-08 19:31,2017-10-08 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-10-08 20:34,2017-10-08 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2017-10-20 19:20,2017-10-20 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-10-20 20:36,2017-10-20 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-10-20 21:39,2017-10-20 22:05,0:26,Basel SBB,Rixheim,TER,96142,28.3,Basel SBB - Rixheim,
